日期,產品,數量,金額,地區,業務
2024-01-05,產品A,25,62500,北部,張小明
2024-01-05,產品B,15,45000,中部,李小華
2024-01-05,產品C,30,135000,南部,王小美
2024-01-08,產品A,20,50000,北部,張小明
2024-01-08,產品D,10,80000,東部,陳小強
2024-01-12,產品B,18,54000,北部,張小明
2024-01-12,產品C,25,112500,中部,李小華
2024-01-15,產品A,30,75000,南部,王小美
2024-01-15,產品E,12,96000,北部,張小明
2024-01-20,產品B,22,66000,中部,李小華
2024-01-20,產品C,28,126000,北部,張小明
2024-01-25,產品A,35,87500,東部,陳小強
2024-01-25,產品D,15,120000,南部,王小美
2024-02-01,產品B,20,60000,北部,張小明
2024-02-01,產品C,32,144000,中部,李小華
2024-02-05,產品A,28,70000,南部,王小美
2024-02-05,產品E,18,144000,北部,張小明
2024-02-10,產品B,25,75000,東部,陳小強
2024-02-10,產品D,20,160000,中部,李小華
2024-02-15,產品C,35,157500,北部,張小明
2024-02-15,產品A,32,80000,南部,王小美
2024-02-20,產品B,28,84000,中部,李小華
2024-02-20,產品E,22,176000,北部,張小明
2024-02-25,產品A,40,100000,東部,陳小強
2024-02-25,產品D,25,200000,南部,王小美
2024-03-01,產品C,38,171000,北部,張小明
2024-03-05,產品B,30,90000,中部,李小華
2024-03-05,產品A,35,87500,南部,王小美
2024-03-10,產品E,25,200000,北部,張小明
2024-03-15,產品D,30,240000,東部,陳小強
2024-03-15,產品C,40,180000,中部,李小華
2024-03-20,產品A,38,95000,北部,張小明
2024-03-20,產品B,32,96000,南部,王小美
2024-03-25,產品E,28,224000,北部,張小明
2024-03-25,產品C,42,189000,中部,李小華
2024-03-28,產品A,45,112500,東部,陳小強
2024-03-28,產品D,35,280000,南部,王小美
